"obs","Edible/Poisonous","Cap-Shape","Cap-Surface","Cap-Color","Odor"
"1","Poisonous","Convex","Smooth","Brown","Pungent"
"2","Edible","Convex","Smooth","Yellow","Almond"
"3","Edible","Bell","Smooth","White","Anise"
"4","Poisonous","Convex","Scaly","White","Pungent"
"5","Edible","Convex","Smooth","Gray","None"
"6","Edible","Convex","Scaly","Yellow","Almond"
"7","Edible","Bell","Smooth","White","Almond"
"8","Edible","Bell","Scaly","White","Anise"
"9","Poisonous","Convex","Scaly","White","Pungent"
"10","Edible","Bell","Smooth","Yellow","Almond"
"11","Edible","Convex","Scaly","Yellow","Anise"
"12","Edible","Convex","Scaly","Yellow","Almond"
"13","Edible","Bell","Smooth","Yellow","Almond"
"14","Poisonous","Convex","Scaly","White","Pungent"
"15","Edible","Convex","Fibrous","Brown","None"
"16","Edible","Sunken","Fibrous","Gray","None"
"17","Edible","Flat","Fibrous","White","None"
"18","Poisonous","Convex","Smooth","Brown","Pungent"
"19","Poisonous","Convex","Scaly","White","Pungent"
"20","Poisonous","Convex","Smooth","Brown","Pungent"
"21","Edible","Bell","Smooth","Yellow","Almond"
"22","Poisonous","Convex","Scaly","Brown","Pungent"
"23","Edible","Bell","Scaly","Yellow","Anise"
"24","Edible","Bell","Scaly","White","Almond"
"25","Edible","Bell","Smooth","White","Anise"
"26","Poisonous","Flat","Smooth","White","Pungent"
"27","Edible","Convex","Scaly","Yellow","Almond"
"28","Edible","Convex","Scaly","White","Anise"
"29","Edible","Flat","Fibrous","Brown","None"
"30","Edible","Convex","Smooth","Yellow","Almond"
"31","Edible","Bell","Smooth","Yellow","Anise"
"32","Poisonous","Convex","Scaly","White","Pungent"
"33","Edible","Convex","Scaly","Yellow","Anise"
"34","Edible","Convex","Scaly","Brown","Anise"
"35","Edible","Bell","Scaly","Yellow","Anise"
"36","Edible","Convex","Fibrous","Yellow","Anise"
"37","Edible","Sunken","Fibrous","Gray","None"
